text,timestamp
"Delivery was extremely late and the box was damaged.",2026-02-01 10:15:23
"Excellent product quality, works perfectly.",2026-02-01 14:32:10
"Customer support never responded to my emails.",2026-02-02 09:45:11
"Very smooth experience, fast shipping and good packaging.",2026-02-02 16:20:54
"Product stopped working after two days.",2026-02-03 11:05:33
"Great value for money, totally satisfied.",2026-02-03 18:44:12
"Delivery was on time but the packaging looked cheap.",2026-02-04 08:33:21
"Support team was very helpful and solved my issue quickly.",2026-02-04 12:10:45
"Received the wrong item and no refund yet.",2026-02-05 15:29:07
"Absolutely love the build quality and design.",2026-02-05 19:55:48
"App crashes frequently, very frustrating.",2026-02-06 10:14:19
"Good performance and easy to use.",2026-02-06 17:36:52
"Delivery was delayed by a week without any update.",2026-02-07 09:02:34
"Very satisfied with the purchase, works great.",2026-02-07 13:48:26
"Support agent was rude and unhelpful.",2026-02-08 11:59:05
"Product quality is amazing for this price.",2026-02-08 18:22:41
"Received a defective piece, had to return it.",2026-02-09 10:41:12
"Fast delivery and excellent customer service.",2026-02-09 15:18:39
"Packaging was damaged but product inside was okay.",2026-02-10 08:57:03
"Superb performance, exceeded expectations.",2026-02-10 14:26:50
"Refund process is taking forever.",2026-02-11 09:38:27
"Easy to set up and very reliable.",2026-02-11 16:47:11
"Delivery partner couldn’t find my address and cancelled.",2026-02-12 11:20:44
"Product feels premium and works flawlessly.",2026-02-12 19:05:18
"Customer support is completely unresponsive.",2026-02-13 10:12:36
"Great experience overall, will buy again.",2026-02-13 17:28:49
"Price is too high for this level of quality.",2026-02-14 12:03:25
"Very happy with the fast delivery and smooth setup.",2026-02-14 18:49:33
"Item arrived broken and replacement is delayed.",2026-02-15 09:27:58
"Works as expected, nothing extraordinary.",2026-02-15 16:11:42
"Delivery was excellent, love to use it more","2026-02-20 01:04:35"

"Delivery was bad, never order from them again","2026-02-20 01:05:52"

"app is ok, but the loading time is too much!","2026-02-20 01:27:10"

"Not good!","2026-02-20 01:27:33"

"very bad experiance","2026-02-20 01:27:44"



"what is this thing, we will never use this thing, waste of money!!","2026-02-20 01:28:20"

"App is not good, it is very slow","2026-02-20 10:23:54"
"very bad app","2026-02-20 10:26:17"
"not good support","2026-02-20 10:26:28"
"never waste your money on this","2026-02-20 10:26:41"
"very slow app not working on my device","2026-02-20 17:26:52"
